title,lang,source_name,format,category,cefr_level,license,text,source_dataset
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,The price elasticity of demand depends on the availability of substitutes.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"To  find the derivative needed to calculate the price elasticities, the procedure above first  took the derivative of the inverse function, then inverted it to achieve dQ/dP.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,A cartel is a group of firms that have an explicit agreement to reduce output in order to  increase the price.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"If both firms select the same category,  both firms lose five million USD, since they have flooded the market with too much  cereal.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,The market  mechanism is a useful and powerful analytical tool.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"The third stage of the Consumer Decision Making Process, the  evaluation of alternatives takes place when a consumer establishes criteria to evaluate the  most viable purchasing option",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,Balance theory  Fritz Heider's Balance Theory is a framework that can predict attitude and behavioural change.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C2,CC BY SA NC 4.0,"Peripheral route to persuasion: This aspect of the Elaboration Likelihood Model identifies  that messages requiring minimal mental processing result in short-term attitude changes,  especially with an audience who is not motivated and has low involvement with the  subject/topic",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Both simple (r outine) and complex decision making begins with need r ecognition.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"After time, some of these stimuli become adapted and we seize to remark on their significance",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Ad hoc wireless networks must also be conﬁgured with a routing protocol, so that paths may be found from one node to another.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"In practice, however, loops allow redundancy – if one link breaks there is still 100% connectivity – and so can be desirable.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C2,CC BY SA NC 4.0,"An EF router’s committed rate R means simply that the router has promised to reserve bandwidth R for EF trafﬁc; if EF trafﬁc arrives at a router faster than rate R, then a queue of EF packets may build up (though the router may be in a position to use some of its additional bandwidth to avoid this, at least to a degree)",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"Overall, this strategy is quite effective at handling non-congestive losses without losing throughput",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"TCP BBR is, in practice, rate-based rather than window-based; that is, at any one time, TCP BBR sends at a given calculated rate, instead of sending new data in direct response to each received ACK.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"The action   potential sends the signal the entire length of the cell and never dies within the cell, which can be   referred to as the all-or-none-principle .",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The late 19th century marks the start of psychology as a scientific enterprise.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Wether researching humans or animals the experiment should be ethical.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Evolutionary psychology is a theoretical approach to psychology that attempts to explain certain   mental and psychological traits  such as memory, perception, or language as evolved adaptations,   i.e., as the functional products of natural or sexual selection",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"The social psychology can be divided into two major categories based on the emphasis given to   either of the constituing disciplines, Psychology and Sociology.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,In the two-step process the light-sensitive film captures a negative image (colors and lights/darks are inverted).,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,Folder larger photos or brittle photos stacked flat within archival boxes with other materials of comparable size.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Acid-free, archival quality paper keeps its color and texture far longer than wood pulp based paper such as newsprint, which turns yellow and becomes brittle much sooner.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"The success of Zig et Puce in 1925 popularized the use of speech balloons in European comics, after which Franco-Belgian comics began to dominate.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Cartridge paper is the basic type of drawing paper sold in pads.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"Topics that climatologists study fall roughly into three categories: climate variability, mechanisms of climatic change change and modern climate change.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,Orchestrate the elements of the map to best convey its message to its audience.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Geographers are making notable contributions to the method of quantitative techniques.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"North American Cartographic Information Society (NACIS), A North American-based cartography society that is aimed at improving communication, coordination and cooperation among the producers, disseminators, curators, and users of cartographic information.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Absolute space leads to the view of the world as a photograph, with everything frozen in place when the coordinates were recorded.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"Culinary hygiene (or food hygiene) pertains to the practices related to food management and cooking to prevent food contamination, prevent food poisoning and minimize the transmission of disease to other foods, humans or animals.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Among National Health Service smoking cessation clients in Glasgow, pharmacy one-to-one counselling cost £2,600 per QALY gained and group support cost £4,800 per QALY gained.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Hygiene in a variety of settings plays an important role in preventing the spread of infectious diseases.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"Voluntary rules making homes smoke-free, which are thought to promote smoking cessation.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Cycling is also used for rehabilitation after hip surgery to manage soft-tissue healing, control swelling and pain, and allow a larger range of motion to the nearby muscles earlier during recovery.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,The development of iron smelting was once attributed to the Hittites of Anatolia during the Late Bronze Age.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"However, Chinese naval maritime influence would penetrate into the Indian Ocean until the medieval period.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"Against the backdrop of those developments, World War II had seen the United States become the world's dominant sea power.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Despite these freedoms, ancient Egyptian women did not often take part in official roles in the administration, aside from the royal high priestesses, apparently served only secondary roles in the temples (not much data for many dynasties), and were not so likely to be as educated as men.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"The Vikings, in the 8th century AD, invented a ship propelled by oars with a dragon decorating the prow, hence called the Drakkar.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Cauchy's mean value theorem, also known as the extended mean value theorem, is a generalization of the mean value theorem.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,Linear differential equations are the differential equations that are linear in the unknown function and its derivatives.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"A differential algebraic equation (DAE) is a differential equation comprising differential and algebraic terms, given in implicit form.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"A delay differential equation (DDE) is an equation for a function of a single variable, usually called time, in which the derivative of the function at a certain time is given in terms of the values of the function at earlier times.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"No hypothesis of continuity needs to be stated if I is an open interval, since the existence of a derivative at a point implies the continuity at this point.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C2,CC BY SA NC 4.0,"Homologous chromosomes are separated in the first division (meiosis I), and sister chromatids are separated in the second division (meiosis II).",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This is called the observer effect.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,The bases are divided into two groups: pyrimidines and purines.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,Yet these organisms are also part of the normal human flora and usually exist on the skin or in the nose without causing any disease at all.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"In some specific fields of science, the results of observation differ depending on factors that are not important in everyday observation.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Monarchies are associated with hereditary reign, in which monarchs reign for life and the responsibilities and power of the position pass to their child or another member of their family when they die.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"A regent may rule when the monarch is a minor, absent, or debilitated.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This was originally intended to provide a check on political power.,universalcefr/readme_en
